file_path,commit_message,description,flags
src/docs/SETUP_GUIDE.md,docs(setup): add .env.example reference and sample values,Add reference to `.env.example` and sample placeholders for SUPABASE_*, ENCRYPTION_KEY, CRON_SECRET,Good
.env.example,chore(env): add .env.example with placeholders,Add `.env.example` with placeholders for required env vars,Good
docs/SETUP_GUIDE.md,docs: fix ambiguous TODO about env setup,Replace TODO with explicit steps and link to `.env.example`,Good
docs/FILES_CREATED_SUMMARY.md,docs: fix table formatting and minor grammar,Fix markdown table alignment and minor grammar issues,Good
docs/FEATURES_IDEAS_Version2.md,docs: remove duplicated lines and correct typos,Delete duplicated sentences and fix typos,Good
docs/DELEGATION.md,docs: clarify environment variable section heading,Improve heading consistency and add an example,Good
docs/SETUP_GUIDE.md,docs: add note about SQL test CI runner,Add note suggesting adding SQL runner to CI and how to enable it,Good/Needs Review
docs/SECURITY_TEST_PLAN.md,docs: add explicit security reminder about ENCRYPTION_KEY,Add a clear reminder to never commit encryption keys and show generation example,Good
package.json,chore: add npm script `check-env` referencing scripts/check_env.js,Add `check-env` script to package.json to validate env var presence,Good
scripts/check_env.js,chore: add --sample flag to print required env names,Support `--sample` to print a starter `.env` template,Good
src/lib/crypto.ts,refactor(crypto): add isValidEncryptionKey function and JSDoc,Add `isValidEncryptionKey` helper and document usage,Needs Review
__tests__/crypto/crypto.test.ts,test(crypto): add encryption key tests,Add tests for key validation and encrypt/decrypt roundtrip,Good
src/lib/encryption/index.ts,chore: add inline comment about encoding assumptions,Clarify encoding used for ciphertext generation,Needs Review
src/lib/encryption/crypto_helpers.ts,chore: mirror encrypt notes and add better error message,Add extra context when decryption fails,Needs Review
src/lib/backup/restore.ts,fix(restore): add message when workflow is missing,Add descriptive message when restore encounters missing workflow data,Good
src/lib/database/client.ts,fix(types): replace `any` with `unknown` for workflow_data,Narrow typing to `unknown` and add TODO to refine usage,Good
src/app/backups/page.tsx,ui: add small accessibility label improvements (aria),Add aria-labels to download/export buttons,Good
src/components/ui/Input.tsx,fix: improve label clarity and JSDoc,Add clearer label text and small JSDoc,Good
src/components/Card.tsx,chore: add default padding comment,Document the default padding for Card component,Good
src/components/Toast.tsx,fix: update success text to be more informative,Adjust success toast copy on import operations,Good
src/components/FloatingActionBar.tsx,fix: ensure keyboard accessibility for actions,Add key handlers and documentation for accessibility,Good
src/app/settings/page.tsx,chore: add missing optional typing for updatedAt,Make `updatedAt` optional to reflect DB behavior,Good
src/lib/errors/index.ts,chore: standardize error message formatting,Make error messages consistent and include context,Good
src/lib/sentry.ts,chore: replace `any` with unknown where feasible,Narrow types and add inline TODOs,Good
src/app/api/rate-limit/route.ts,chore: add small inline docs for rate limit headers,Document header semantics and usage,Good
__tests__/rateLimit/rateLimit.test.ts,test: add assertion messages to aid debugging,Add explicit messages to failing expectations,Good
__tests__/backup/restore.test.ts,test: add restore edge-case tests,Test restore behavior when workflow is empty or has missing fields,Good
src/lib/trash.ts,chore: add guard and comment about fallback strategy,Document fallback to env var and add test hook,Needs Review
src/app/workflows/create/page.tsx,fix: guard for new Date() with invalid input,Avoid Date parsing errors when `updatedAt` missing,Good
src/components/ui/Badge.tsx,fix: small styling edge-case,Ensure Badge renders correctly when long text present,Good
src/components/Modal.tsx,fix: prevent event propagation on backdrop click,Add event stop propagation and document behavior,Good
src/components/CommandPalette.tsx,fix: avoid memory leak on keydown listeners,Cleanup event listeners on unmount,Good
src/components/GlobalErrorBoundary.tsx,fix: improve error logging detail,Include error id and context in logs,Good
src/app/executions/page.tsx,fix: ensure save button disables with no changes,Disable save when no changes detected,Good
src/components/ui/EmptyState.tsx,fix: add aria-label to spinner,Accessibility: add `aria-label` and prop docs,Good
src/lib/rateLimit/dbLimiter.ts,fix: make size calculation more robust,Avoid division by zero and handle large values,Good
src/lib/backup/scheduler.ts,chore: remove duplicate log entries for backup events,Ensure single log per duplicate event,Good
src/components/ui/Button.tsx,fix: small type and JSDoc update,Add explicit prop type and small JSDoc,Good
src/app/tags/page.tsx,ui: small copy improvements,Adjust user-facing copy for clarity,Good
src/app/workflows/import/page.tsx,fix: toast message improvements on import,Make success toast more informative,Good
src/app/backups/[id]/page.tsx,fix: bytes formatting utility edge-case,Handle zero and negative bytes gracefully,Good
